R,B,xD,QR,xF,R_over_R_plus_1,R_times_xF,alpha_approx,R_min_approx,R_factor
2.2,2.0,0.814146,-791920.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.2,2.33333,0.8143,-868084.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.2,2.66667,0.814435,-935560.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.2,3.0,0.814514,-995754.0,0.65,0.6875,1.4300000000000002,3.20675,0.45315509233035006,4.854850000000001
2.9,1.0,0.822789,-554797.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,1.33333,0.823095,-692513.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,1.66667,0.823352,-813682.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,2.0,0.823575,-921104.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,2.33333,0.823764,-1020000.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,2.66667,0.823932,-1100000.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
2.9,3.0,0.82408,-1180000.0,0.65,0.7435897435897436,1.885,3.20675,0.45315509233035006,6.399575
3.6,1.0,0.82862,-603013.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,1.33333,0.82896,-758760.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,1.66667,0.82925,-897892.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,2.0,0.829499,-1020000.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,2.33333,0.829716,-1140000.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,2.66667,0.829909,-1240000.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
3.6,3.0,0.830078,-1330000.0,0.65,0.782608695652174,2.3400000000000003,3.20675,0.45315509233035006,7.9443
4.3,1.0,0.832586,-640517.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,1.33333,0.832951,-811033.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,1.66667,0.833264,-965187.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,2.0,0.833536,-1110000.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,2.33333,0.833775,-1230000.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,2.66667,0.833986,-1350000.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
4.3,3.0,0.834173,-1460000.0,0.65,0.8113207547169812,2.795,3.20675,0.45315509233035006,9.489025
5.0,1.0,0.835444,-670525.0,0.65,0.8333333333333334,3.25,3.20675,0.45315509233035006,11.03375
5.0,1.33333,0.835829,-853329.0,0.65,0.8333333333333334,3.25,3.20675,0.45315509233035006,11.03375
5.0,1.66667,0.83616,-1020000.0,0.65,0.8333333333333334,3.25,3.20675,0.45315509233035006,11.03375
5.0,2.0,0.836449,-1170000.0,0.65,0.8333333333333334,3.25,3.20675,0.45315509233035006,11.03375
5.0,2.33333,0.836706,-1310000.0,0.65,0.8333333333333334,3.25,3.20675,0.45315509233035006,11.03375
